experiment_id,dataset,student_level,algorithm,cv_mae,cv_rmse,cv_r2,test_mae,test_rmse,test_r2,model_version,timestamp,cv_f1,cv_accuracy,test_f1,test_accuracy,high_risk_recall
school_reg_dummyregressor,school,school,DummyRegressor,2.8123,3.8397,-0.0146,2.9387,3.9481,-0.0082,school-performance-v1.0.0,2026-08-23 10:55:56,,,,,
school_reg_linearregression,school,school,LinearRegression,1.5807,2.2854,0.6365,1.6554,2.5285,0.5865,school-performance-v1.0.0,2026-08-23 10:55:56,,,,,
school_reg_randomforestregressor,school,school,RandomForestRegressor,1.4785,2.1344,0.6823,1.5596,2.287,0.6617,school-performance-v1.0.0,2026-08-23 10:55:58,,,,,
school_reg_gradientboostingregressor,school,school,GradientBoostingRegressor,1.4204,2.082,0.6982,1.56,2.2931,0.6599,school-performance-v1.0.0,2026-08-23 10:55:59,,,,,
school_reg_xgbregressor,school,school,XGBRegressor,1.4312,2.1043,0.6927,1.5223,2.2849,0.6623,school-performance-v1.0.0,2026-08-23 10:56:02,,,,,
college_clf_dummyclassifier,higher_ed_students,college,DummyClassifier,,,,,,,college-performance-v1.0.0,2026-08-23 10:56:18,0.0946,0.2417,0.0939,0.2414,1.0
college_clf_logisticregression,higher_ed_students,college,LogisticRegression,,,,,,,college-performance-v1.0.0,2026-08-23 10:56:18,0.246,0.2775,0.2264,0.2414,0.3333
college_clf_randomforestclassifier,higher_ed_students,college,RandomForestClassifier,,,,,,,college-performance-v1.0.0,2026-08-23 10:56:19,0.2376,0.3029,0.1672,0.2414,0.7778
college_clf_gradientboostingclassifier,higher_ed_students,college,GradientBoostingClassifier,,,,,,,college-performance-v1.0.0,2026-08-23 10:56:22,0.2628,0.2935,0.3291,0.3448,0.4444
college_clf_xgbclassifier,higher_ed_students,college,XGBClassifier,,,,,,,college-performance-v1.0.0,2026-08-23 10:56:24,0.2651,0.2942,0.4856,0.4828,0.6667
